gene	num_tests	frac_tests	subset
Hmgcr	50	1.0	15
Atp6v1b2	50	1.0	15
Taf1	50	1.0	15
Hspa5	50	1.0	15
Trappc5	35	0.7000000000000001	16
Hspa5	50	1.0	16
Atp6v1b2	50	1.0	16
Ppp2r1a	50	1.0	16
Ddx39b	50	1.0	16
Trappc3	50	1.0	16
Hars	50	1.0	16
Rngtt	50	1.0	16
Cct3	50	1.0	16
Taf1	50	1.0	16
Caml	50	1.0	16
Hmgcr	50	1.0	16
Rabggta	50	1.0	16
Ctdp1	50	1.0	16
Sars	50	1.0	16
Slc18a1	50	1.0	16
Wars	50	1.0	16
Trappc1	50	1.0	16
Nsf	50	1.0	16
Atp6v1c1	50	1.0	16
Trappc5	36	0.72	17
Hspa5	50	1.0	17
Cct3	50	1.0	17
Ddx39b	50	1.0	17
Taf1	50	1.0	17
Nsf	50	1.0	17
Ctdp1	50	1.0	17
Sars	50	1.0	17
Slc18a1	50	1.0	17
Atp6v1c1	50	1.0	17
Hmgcr	50	1.0	17
Trappc1	50	1.0	17
Rngtt	50	1.0	17
Ppp2r1a	50	1.0	17
Rabggta	50	1.0	17
Wars	50	1.0	17
Atp6v1b2	50	1.0	17
Trappc3	50	1.0	17
Caml	50	1.0	17
Hars	50	1.0	17
Trappc5	32	0.64	18
Hspa5	50	1.0	18
Slc18a1	50	1.0	18
Atp6v1c1	50	1.0	18
Hars	50	1.0	18
Hmgcr	50	1.0	18
Ppp2r1a	50	1.0	18
Caml	50	1.0	18
Taf1	50	1.0	18
Atp6v1b2	50	1.0	18
Trappc1	50	1.0	18
Rabggta	50	1.0	18
Ctdp1	50	1.0	18
Wars	50	1.0	18
Trappc3	50	1.0	18
Nsf	50	1.0	18
Cct3	50	1.0	18
Ddx39b	50	1.0	18
Sars	50	1.0	18
Rngtt	50	1.0	18
Trappc5	36	0.72	19
Taf1	50	1.0	19
Nsf	50	1.0	19
Ctdp1	50	1.0	19
Rngtt	50	1.0	19
Hspa5	50	1.0	19
Cct3	50	1.0	19
Wars	50	1.0	19
Rabggta	50	1.0	19
Hmgcr	50	1.0	19
Ppp2r1a	50	1.0	19
Slc18a1	50	1.0	19
Hars	50	1.0	19
Ddx39b	50	1.0	19
Atp6v1b2	50	1.0	19
Trappc1	50	1.0	19
Trappc3	50	1.0	19
Sars	50	1.0	19
Atp6v1c1	50	1.0	19
Caml	50	1.0	19
